Airlines,Business Model,Region,Financial,Traffic Growth,Yields,Macro Indicators,Competition,Ishka Credit Score,Ishka Credit Score Outlook or Proxy Score,Overall credit quality
MODERN Logistics,Cargo Carrier,South America,,,,,,,,
National Jet Express,Charter/ACMI,Asia Pacific,,,,,,,,
Nok Air,Low-Cost Carrier,Asia Pacific,On Watch,,,,,CCC-,CCC-,Critical
Norse Atlantic Airways,Low-Cost Carrier,Europe,,,,,,CCC- ,CCC-,Critical
Norwegian,Low-Cost Carrier,Europe,,,,,,BB+ ,BB+,Adequate but some concerns
Pakistan International Airlines,Full-Service Carrier,Asia Pacific,On Watch,,,,,CCC- ,CC,Critical
PAL Holdings,Full-Service Carrier,Asia Pacific,,,,Watch: Developing,,BB-,BB-,Adequate but some concerns
Pegasus Airlines,Low-Cost Carrier,Europe,,,,,,B+ ,B+,Weak
Plus Ultra,Hybrid Airline,Europe,,,,,,,,
Pobeda,Low-Cost Carrier,Europe,,On Watch,,,,,,
Porter Airlines,Regional Airline,North America,,Watch:Developing,,,,,,
Qantas Group,Multi-Brand Airline Group,Asia Pacific,,,,,,BB   ,BB,Adequate but some concerns
Qatar Airways,Full-Service Carrier,Middle East,<p>* See Periodic Reviews</p>,,,,,BBB-,BB+,Adequate but some concerns
Qingdao Airlines,Full-Service Carrier,Asia Pacific,,,,,,,,
Regional Express,Regional Airline,Asia Pacific,,,,,,B-,CCC,Critical
Republic Airways,Regional Airline,North America,,,,Watch:Developing,,B+,B+,Weak
Rossiya Airlines,Full-Service Carrier,Europe,,On Watch,,,,,,
Royal Air Maroc,Full-Service Carrier,Africa,,,,,,,,
Royal Jordanian,Full-Service Carrier,Middle East,*See Periodic Review â€“ could downgrade to Red quickly,<p><br></p>,,,,CCC+,CCC+,Critical
RwandAir,Full-Service Carrier,Africa,,,,,,,,
Ryanair,Low-Cost Carrier,Europe,,,,,,A    ,A,Strong
S7,Full-Service Carrier,Europe,,On Watch,,,,,,
SalamAir,Low-Cost Carrier,Middle East,,,,,,,,
SAS,Full-Service Carrier,Europe,,,,Watch:Developing,,CCC+,B-,Weak
Saudia,Full-Service Carrier,Middle East,,,,,,,,
Shaheen Air International,Full-Service Carrier,Asia Pacific,,,,,,,,
Shandong Airlines,Full-Service Carrier,Asia Pacific,,,,,,,,
Shenzhen Airlines,Full-Service Carrier,Asia Pacific,,,,,,,,
Sichuan Airlines,Full-Service Carrier,Asia Pacific,,,,,,,,
Singapore Airlines Group,Multi-Brand Airline Group,Asia Pacific,,,,Watch:Developing,,A-,A-,Strong
Sky Airline,Low-Cost Carrier,South America,,,,,,,,
Skymark Airlines,Low-Cost Carrier,Asia Pacific,Downside Pressures,,,,,B,B-,Weak
SkyWest Inc.,Regional Airline,North America,,,,Watch:Developing,,BB ,BB,Adequate but some concerns
Smartavia,Hybrid Airline,Europe,,On Watch,,,,,,
SmartLynx Latvia,Charter/ACMI,Europe,,,,,,,,
Smartwings,Hybrid Airline,Europe,,,,,,,,
South African Airways,Full-Service Carrier,Africa,,,,,,,,
Southwest Airlines,Low-Cost Carrier,North America,,,,Watch: Developing,,BBB  ,BBB,Stable
SpiceJet,Low-Cost Carrier,Asia Pacific,On Watch,,,,,CCC-,CCC-,Critical
Spirit Airlines,Ultra-Low-Cost Carrier,North America,,,,Watch:Developing,,CCC  ,CCC,Critical
Spring Airlines,Low-Cost Carrier,Asia Pacific,,,,,,BB,BB,Adequate but some concerns
SriLankan Airlines,Full-Service Carrier,Asia Pacific,,,,,,CCC,,
Star Air,Regional Airline,Asia Pacific,,,,Watch: Developing,,,,
Sun Country,Hybrid Airline,North America,,,,Watch:Developing,,BB,BB-,Adequate but some concerns
SunExpress,Full-Service Carrier,Europe,,,,,,,,
Sunwing Travel Group,Tour Operator,North America,Est.,,,,,,,
T'way Air,Low-Cost Carrier,Asia Pacific,,,,,,B-  ,CCC,Critical
TAAG Angola,Full-Service Carrier,Africa,,,,Improving trend,Declining share on certain key routes,,,
TAP Air Portugal,Full-Service Carrier,Europe,,,,,,B+  ,B+,Weak
Thai AirAsia,Low-Cost Carrier,Asia Pacific,,,,,,CCC,CCC,Critical
Thai Airways,Full-Service Carrier,Asia Pacific,,,,,,BB-    ,BB-,Adequate but some concerns
Thomas Cook Group,Tour Operator,Europe,(On Watch),,,(On Watch),,B+   ,CCC+,Critical
Tianjin Airlines,Full-Service Carrier,Asia Pacific,,,,,,,,
Titan Airways,Charter/ACMI,Europe,*,*,,,,BB-,BB-,Adequate but some concerns
Transavia,Low-Cost Carrier,Europe,Refer to AF-KLM,,,(On Watch),,,,
TruJet,Regional Airline,Asia Pacific,,,,,,,,
TUI Group,Tour Operator,Europe,,,,,,BB,BB,Adequate but some concerns
Tunisair,Full-Service Carrier,Africa,,,,,,,,
Turkish Airlines,Full-Service Carrier,Europe,,,,,,BB ,BB,Adequate but some concerns
United Airlines,Full-Service Carrier,North America,,,,Watch:Developing,,BB,BB,Adequate but some concerns
Ural Airlines,Full-Service Carrier,Europe,On Watch Est.,On Watch,,,,,,
VietJet Air,Low-Cost Carrier,Asia Pacific,,,,Watch: Developing,,CCC,CCC,Critical
Vietnam Airlines,Full-Service Carrier,Asia Pacific,Improving Trend,,,Watch: Developing,,CCC+,CCC+,Critical
Virgin Atlantic,Full-Service Carrier,Europe,,Watch:Developing,,,,CCC+,CCC+,Critical
Virgin Australia,Hybrid Airline,Asia Pacific,,,,,,BB-,BB-,Adequate but some concerns
Vistara,Full-Service Carrier,Asia Pacific,Estimate,,,,,,,
VoePass,Regional Airline,South America,,,,,,,,
Volaris,Ultra-Low-Cost Carrier,Central America,Deteriorating Trend,Watch:Developing,Watch:Developing,,,B+  ,B,Weak
Vueling,Low-Cost Carrier,Europe,,,,,,BB-   ,BB-,Adequate but some concerns
WestJet,Hybrid Airline,North America,,Watch:Developing,,,,,,
Wizz Air,Ultra-Low-Cost Carrier,Europe,,,,On Watch,,B+  ,B,Weak
WOW,Low-Cost Carrier,Europe,On Watch,,,,,,,
Xiamen Airlines,Full-Service Carrier,Asia Pacific,,,,,,,,
